Data;"Fechamento
ajust p/ prov
moeda orig em 100
ipca+6%";"Fechamento
ajust p/ prov
moeda orig em 100
CDI Acumulado";"Fechamento
ajust p/ prov
moeda orig em 100
IBXX";"Fechamento
ajust p/ prov
moeda orig em 100
IDA DI";"Fechamento
ajust p/ prov
moeda orig em 100
IHFA";"Fechamento
ajust p/ prov
moeda orig em 100
IMA-B 5";"Fechamento
ajust p/ prov
moeda orig em 100
IMA-B";"Fechamento
ajust p/ prov
moeda orig em 100
IFIX";"Fechamento
ajust p/ prov
moeda orig em 100
IRF-M";"Fechamento
ajust p/ prov
moeda orig em 100
S&P 500";"Fechamento
ajust p/ prov
moeda orig em 100
IDIV";"Fechamento
ajust p/ prov
moeda orig em 100
IDA IPCA";"Fechamento
ajust p/ prov
moeda orig em 100
SMLL"
03/12/2010;100;100;100;100;100;100;100;-;100;100;100;100;100
10/12/2010;-;100,2008555;98,31275162;100,2217866;100,2588709;100,4067361;100,4802977;-;100,2779734;101,2811196;97,33390004;100,2391543;97,41258741
17/12/2010;-;100,4020785;98,50726014;100,4458709;100,6366036;100,9917581;101,6675258;-;100,4643744;101,5677181;97,50738973;100,5863958;97,41258741
24/12/2010;-;100,603705;99,27172389;100,6752968;100,7350475;100,9095638;101,8189621;-;100,6391709;102,6177626;98,24076042;100,8434141;98,04195804
31/12/2010;101,1198214;100,8057368;100,5970959;100,897039;101,0639229;101,3025829;102,2725097;100;101,03464;102,6887998;99,20210197;101,1111983;100,6293706
07/01/2011;-;101,0081742;101,234903;101,1258917;101,3278983;101,489968;101,5181996;100,082;100,9758281;103,8204963;100,700141;101,4072323;99,37062937
14/01/2011;-;101,2110183;102,8135885;101,3478356;101,5845815;101,7739925;102,0770648;100,136;100,8548357;105,5956104;102,3782384;101,701418;100,2097902
21/01/2011;-;101,4178988;100,0135704;101,576135;101,610104;101,8860178;102,3153246;100,056;101,0302428;104,7880723;99,17814571;102,1787813;98,74125874
28/01/2011;-;101,6306574;97,19998191;101,810666;101,4314466;102,0552783;101,9694371;99,754;101,0287808;104,2156919;96,83004579;102,5099196;91,95804196
04/02/2011;102,4317195;101,8438626;95,47202244;102,0460718;101,5568714;102,251516;101,8974475;101,49;101,1131151;107,0351348;94,14346709;102,8521911;89,79020979
11/02/2011;-;102,0575513;95,99221966;102,2829762;101,7924074;102,5377869;102,3370818;101,124;101,5367229;108,5277331;94,55265547;103,2496933;90,76923077
18/02/2011;-;102,271871;99,5567015;102,5457432;102,1876413;102,7205449;102,4660852;99,749;101,9990274;109,6594296;98,7477058;103,562969;95,03496504
25/02/2011;-;102,486787;98,16347763;102,7768109;102,0658626;102,8080619;102,5127891;100,019;102,1352967;107,7708192;96,21529723;103,937265;91,81818182
04/03/2011;103,7297657;102,7056304;100;103,0346738;102,4771391;103,2418824;102,7980343;100,958;102,2447898;108,6020364;98,58233033;104,3027108;93,91608392
11/03/2011;-;102,8403477;97,54828787;103,1863865;102,449429;103,6447823;103,3059223;101,233;102,5756409;105,3196267;98,50118815;104,5658371;94,40559441
18/03/2011;-;103,0653789;97,62518659;103,4445997;102,544956;103,8352503;103,2752424;101,238;102,6540317;104,4500331;98,19130233;104,8420429;93,77622378
25/03/2011;-;103,290903;99,47075587;103,6961962;103,213645;104,2597312;103,7270015;102,131;102,9206785;107,2743752;100,6692297;105,2486359;96,22377622
01/04/2011;105,0581298;103,5172144;102,1576876;103,9526843;104,1215162;104,8663716;104,3693422;103,693;103,2207648;108,7939186;104,0501536;105,6330168;99,93006993
08/04/2011;-;103,7437637;100,5021034;104,2038477;104,3038196;105,1142437;104,4438358;104,097;103,391908;108,4477142;102,2742992;106,1453546;100
15/04/2011;-;103,9708088;97,73827295;104,4568296;104,5415433;105,2615138;104,6383613;105,677;103,7812903;107,7544888;99,92813122;106,4564405;98,95104895
22/04/2011;-;104,1074446;98,70629213;104,6089722;104,6968658;105,2785301;104,6339173;104,763;103,8694851;109,1997289;101,4729236;106,6201079;100,1398601
29/04/2011;106,3332055;104,3398053;97,53019406;104,8575505;104,8901075;105,5049983;104,7803344;104,639;104,1834856;111,3414604;101,1920172;106,8464226;98,81118881
06/05/2011;-;104,5728328;95,66653096;105,1237695;104,9010457;105,7743056;105,328802;104,437;104,5324411;109,4299875;103,0119202;107,2401843;98,88111888
13/05/2011;-;104,806009;93,73953951;105,3748971;105,0169907;106,1697123;105,8102462;104,116;104,8639976;109,2315732;101,4277158;107,568293;98,74125874
20/05/2011;-;105,0397064;93,19220157;105,6338804;105,1912728;106,1207117;106,3804567;103,678;105,077806;108,8641393;100,8481289;107,8698904;96,08391608
27/05/2011;-;105,2741104;95,28203736;105,9004669;105,3859728;106,3230269;106,401883;104,406;105,3475617;108,6869545;102,0459419;108,1170977;97,48251748
03/06/2011;107,3778119;105,5089252;94,79802777;106,1636897;105,4895212;106,4708801;106,1569314;103,585;105,6382884;106,1606421;102,0459419;108,2311926;98,6013986
10/06/2011;-;105,7458379;92,83484869;106,4235226;105,4720201;106,6189528;106,6029982;104,181;106,0211537;103,7780373;99,99806804;108,5193629;97,06293706
17/06/2011;-;105,9858357;91,26973357;106,695907;105,604737;106,9402174;106,7969593;104,124;106,1943442;103,8204963;99,10936806;108,7417541;94,82517483
24/06/2011;-;106,1785792;91,57280499;106,910591;105,8461067;107,1380561;106,6628237;104,895;106,3490016;103,5714577;100,4617376;108,8913117;94,68531469
01/07/2011;108,0623297;106,4200491;95,02420048;107,1777863;106,1830035;107,2030039;106,0973979;106,534;106,4714675;109,386712;102,7414463;108,9767543;96,78321678
08/07/2011;-;106,6624833;92,45487855;107,4671137;106,0874765;107,4902044;106,1377183;106,003;106,6391423;109,7239346;99,80487239;109,2098779;94,61538462
15/07/2011;-;106,9055449;89,59605555;107,7530023;106,021118;107,8444305;106,2034264;107,249;106,798851;107,4654408;98,14338981;109,3866982;91,53846154
22/07/2011;-;107,1509787;90,57312164;108,0365178;106,3288462;108,1720147;106,4426461;107,95;107,0321413;109,8235501;98,87753328;109,6498618;92,51748252
29/07/2011;108,7620699;107,3998225;89,13466323;108,3183769;106,3959339;108,5062782;106,7369207;108,451;107,1149677;105,5172245;98,22066807;109,884053;89,86013986
05/08/2011;-;107,6492438;80,80246076;108,6019039;105,5515044;108,9848503;106,7796206;108,327;108,0713501;97,93175527;93,93172466;110,1327965;80,76923077
12/08/2011;-;107,8992072;80,99696929;108,9018179;106,1443552;109,5565879;107,1947492;108,146;108,8422801;96,25217398;93,0816638;110,3987931;81,11888112
19/08/2011;-;108,1497128;79,52232325;109,1845692;106,7401228;110,7623502;109,7825386;108,277;109,809346;91,73845237;95,24545507;110,9461899;80,76923077
26/08/2011;-;108,4007227;80,75270276;109,4682451;106,9151341;111,9387232;111,5106509;108,87;110,2882889;96,0880535;96,40462897;111,3395554;81,3986014
02/09/2011;109,7465935;108,6483166;85,65612702;109,7474617;109,2136159;113,7108586;113,4030823;109,47;110,9647378;95,85697839;101,466355;112,114794;88,46153846
09/09/2011;-;108,8420846;84,5840684;109,9070392;109,4863418;113,8118522;113,4690817;109,794;111,3446275;94,24516824;99,80487239;114,295051;87,06293706
16/09/2011;-;109,08478;86,75080291;110,1911172;109,5862441;114,1250481;113,4663922;110,567;111,3570334;99,28962775;102,6255289;115,6995244;88,11188811
23/09/2011;-;109,3279391;81,51716651;110,4722951;109,5001969;114,2363162;112,1746803;110,721;111,5756748;92,79176295;98,52978111;116,1747897;81,46853147
30/09/2011;110,8652788;109,5717183;81,53526033;110,7688625;109,8436566;114,6205816;113,2678643;111,117;112,2263061;92,38268651;99,53439849;116,1957508;81,18881119
07/10/2011;-;109,8160801;79,60374542;111,043178;109,8779296;115,1786257;114,5785319;111,384;112,4315039;94,34560018;98,22066807;116,7035721;79,44055944
