Data;"Fechamento
ajust p/ prov
moeda orig em 100
ipca+6%";"Fechamento
ajust p/ prov
moeda orig em 100
CDI Acumulado";"Fechamento
ajust p/ prov
moeda orig em 100
IBXX";"Fechamento
ajust p/ prov
moeda orig em 100
IDA DI";"Fechamento
ajust p/ prov
moeda orig em 100
IHFA";"Fechamento
ajust p/ prov
moeda orig em 100
IMA-B 5";"Fechamento
ajust p/ prov
moeda orig em 100
IMA-B";"Fechamento
ajust p/ prov
moeda orig em 100
IFIX";"Fechamento
ajust p/ prov
moeda orig em 100
IRF-M";"Fechamento
ajust p/ prov
moeda orig em 100
S&P 500";"Fechamento
ajust p/ prov
moeda orig em 100
IDIV";"Fechamento
ajust p/ prov
moeda orig em 100
IDA IPCA";"Fechamento
ajust p/ prov
moeda orig em 100
SMLL";"Fechamento
ajust p/ prov
moeda orig em 100
S&PREAL"
31/12/2010;100;100;100;100;100;100;100;100;100;100;100;100;100;100
07/01/2011;-;100,2008193;100,6340213;100,226818;100,2611965;100,1849757;99,26245071;100,082;99,94179036;101,1020642;101,510088;100,2927806;98,74913134;102,3095609
14/01/2011;-;100,4020421;102,2033365;100,4467887;100,5151775;100,4653481;99,80889793;100,136;99,82203696;102,8306988;103,2016826;100,5837332;99,58304378;103,9477529
21/01/2011;-;100,607269;99,41993795;100,6730584;100,5404313;100,5759329;100,0418635;100,056;99,99564787;102,0443052;99,97585106;101,0558504;98,12369701;102,417892
28/01/2011;-;100,8183271;96,6230496;100,9055043;100,3636547;100,743017;99,70366174;99,754;99,99420076;101,486912;97,608865;101,3833495;91,3829048;102,2178224
04/02/2011;101,2973699;101,0298281;94,90534646;101,1388172;100,4877591;100,9367314;99,63327173;101,49;100,0776715;104,2325308;94,90067773;101,7218595;89,22863099;104,7079642
11/02/2011;-;101,2418088;95,42245605;101,3736153;100,7208156;101,2193213;100,0631372;101,124;100,4969414;105,6860469;95,31315728;102,1149932;90,20152884;105,7938768
18/02/2011;-;101,4544154;98,96578084;101,6340462;101,1118888;101,3997294;100,1892742;99,749;100,9545116;106,7881111;99,54194905;102,424826;94,44058374;106,8842473
25/02/2011;-;101,6676136;97,58082648;101,8630595;100,9913921;101,4861211;100,2349403;100,019;101,0893854;104,948952;96,98917193;102,7950086;91,24391939;104,7159001
04/03/2011;102,5810413;101,8847078;99,40644813;102,1186298;101,398339;101,9143634;100,5138474;100,958;101,1977573;105,7584046;99,37524344;103,1564381;93,32870049;104,4889483
11/03/2011;-;102,0183483;96,96928819;102,2689937;101,3709206;102,3120826;101,01045;101,233;101,5252204;102,5619414;99,29344863;103,4166728;93,81514941;102,4819207
18/03/2011;-;102,2415808;97,04573047;102,5249112;101,465442;102,5001015;100,9804518;101,238;101,6028084;101,7151172;98,98107034;103,6898431;93,18971508;102,069185
25/03/2011;-;102,4653024;98,88034534;102,7742708;102,1270916;102,9191243;101,4221727;102,131;101,8667246;104,4655068;101,4789281;104,0919677;95,62195969;103,9576623
01/04/2011;103,8946948;102,6898048;101,5513287;103,0284787;103,0254053;103,5179643;102,0502406;103,693;102,1637379;105,9452626;104,8870453;104,4721243;99,30507297;102,9694864
08/04/2011;-;102,9145434;99,90557129;103,277409;103,2057896;103,7626492;102,1230789;104,097;102,3331285;105,6081232;103,0969074;104,9788316;99,37456567;99,90368726
15/04/2011;-;103,1397736;97,1581456;103,5281418;103,4410107;103,9080257;102,313282;105,677;102,7185234;104,9330492;100,7318688;105,2864986;98,33217512;99,35324596
22/04/2011;-;103,2753174;98,12041908;103,6789317;103,5946981;103,9248231;102,3089367;104,763;102,805815;106,3404472;102,2890862;105,4483674;99,51355108;100,3411662
29/04/2011;105,1556501;103,5058208;96,95130177;103,9253;103,7859055;104,1483793;102,4521004;104,639;103,1166;108,4260997;102,0059204;105,6721949;98,19318972;102,3807362
06/05/2011;-;103,7369857;95,09870048;104,1891521;103,7967286;104,4142238;102,9883811;104,437;103,461982;106,5646767;103,8404612;106,0616292;98,26268242;103,0406618
13/05/2011;-;103,9682981;93,18314672;104,4380471;103,911453;104,8045462;103,4591275;104,116;103,7901432;106,3714577;102,2435148;106,3861321;98,12369701;104,2391766
20/05/2011;-;104,2001277;92,63905751;104,6947278;104,0839003;104,7561756;104,0166678;103,678;104,0017621;106,0136446;101,6592662;106,684415;95,48297429;102,8768827
27/05/2011;-;104,4326581;94,71648905;104,9589442;104,2765508;104,9558894;104,037618;104,406;104,2687554;105,8410992;102,8667134;106,9289055;96,87282835;101,8772986
03/06/2011;106,1886883;104,6655959;94,23535231;105,2198268;104,379009;105,1018415;103,7981093;103,585;104,556505;103,3809357;102,8667134;107,0417465;97,98471161;97,68511895
10/06/2011;-;104,900615;92,28382571;105,4773497;104,3616921;105,2480102;104,2342644;104,181;104,9354496;101,0607169;100,8023682;107,3267498;96,45587213;96,66940979
17/06/2011;-;105,1386945;90,72800036;105,7473123;104,4930119;105,5651439;104,4239156;104,124;105,1068665;101,1020642;99,90652022;107,546697;94,23210563;96,95774118
24/06/2011;-;105,3298975;91,0292729;105,9600877;104,7318407;105,7604388;104,2927606;104,895;105,2599401;100,8595465;101,2697671;107,694611;94,09312022;96,77964402
01/07/2011;106,8656256;105,5694373;94,46018256;106,2249075;105,0651909;105,8245514;103,7398986;106,534;105,381152;106,5225343;103,5678118;107,7791146;96,17790132;99,72662418
08/07/2011;-;105,8099337;91,90611089;106,5116625;104,9706695;106,108059;103,7793231;106,003;105,5471097;106,8509271;100,6076186;108,0096762;94,02362752;100,2585161
15/07/2011;-;106,0510525;89,06425649;106,7950094;104,9050096;106,4577303;103,8435711;107,249;105,7051829;104,6515696;98,93277246;108,1845532;90,96594858;98,87946587
22/07/2011;-;106,2945246;90,03552318;107,0760043;105,2094983;106,7811023;104,0774753;107,95;105,9360842;106,9479342;99,67282075;108,4448247;91,93884642;99,79111352
29/07/2011;107,5576167;106,5413794;88,60560277;107,3553575;105,2758797;107,1110677;104,3652111;108,451;106,0180624;102,7543653;99,01067228;108,6764422;89,2981237;95,97684476
05/08/2011;-;106,7888071;80,32285624;107,6363637;104,4403397;107,5834863;104,4069622;108,327;106,9646511;95,36751376;94,68723222;108,922452;80,26407227;90,97747156
12/08/2011;-;107,0367726;80,51621026;107,9336113;105,0269494;108,1478723;104,8128666;108,146;107,7276864;93,73191056;93,83033419;109,1855254;80,61153579;90,89103823
19/08/2011;-;107,2852758;79,05031701;108,2138487;105,6164453;109,3381304;107,343155;108,277;108,684849;89,33637607;96,01152917;109,7269063;80,26407227;85,57247402
26/08/2011;-;107,5342794;80,27339359;108,4950026;105,7896142;110,4993772;109,0328683;108,87;109,1588874;93,5720874;97,18002649;110,1159488;80,8895066;90,49457547
02/09/2011;108,5312375;107,7798944;85,14771348;108,7717368;108,0638993;112,2487259;110,8832497;109,47;109,8284091;93,34706275;102,2824648;110,8826677;87,90826963;91,55989957
09/09/2011;-;107,9721136;84,08201808;108,9298956;108,3337542;112,3484209;110,9477825;109,794;110,2044086;91,77745619;100,6076186;113,0389639;86,51841557;92,39437343
16/09/2011;-;108,2128691;86,2358919;109,2114479;108,4326048;112,6575897;110,9451528;110,567;110,2166875;96,68983175;103,4509621;114,4280023;87,56080612;99,35921853
23/09/2011;-;108,4540846;81,03331984;109,4901259;108,3474634;112,767427;109,682143;110,721;110,4330899;90,3621068;99,32227156;114,8980445;80,95899931;101,6044935
30/09/2011;109,6375342;108,6959153;81,05130626;109,7840567;108,6873074;113,1467514;110,7510363;111,117;111,0770584;89,96374161;100,3349692;114,9187752;80,68102849;100,1252925
07/10/2011;-;108,9383239;79,1312559;110,0559333;108,7212197;113,69762;112,0325806;111,384;111,2801549;91,87525842;99,01067228;115,4210157;78,94371091;97,4113741
14/10/2011;-;109,1325315;84,03255542;110,2725299;108,7912088;113,6838091;112,1464423;110,494;111,2495964;97,37126682;102,165615;115,6500498;83,25225851;101,5438202
21/10/2011;-;109,371987;84,32933136;110,5349601;108,7912088;113,5123933;111,556511;111,687;111,6639716;98,45822334;104,4636597;115,8588042;84,01667825;105,2005612
28/10/2011;-;109,6063185;89,30257656;110,8114596;109,4420353;113,842716;112,1606991;110,997;111,9982572;102,1826596;106,0216562;116,1337089;87,35232801;104,1696468
04/11/2011;110,6193571;109,7941844;89,0732497;111,0258516;109,5820135;113,8883734;112,3186462;111,714;112,4257076;99,64934321;106,6838046;116,3664118;84,92008339;104,1527615
11/11/2011;-;110,029342;88,73150771;111,2924403;109,854033;114,5885171;113,5238332;112,58;113,0309013;100,493782;107,3459531;116,8017642;84,36414177;105,8314964
18/11/2011;-;110,2174221;86,56864068;111,5030534;109,6029381;114,977641;114,1074341;112,873;113,3778279;96,66120671;106,099556;117,1975033;82,14037526;102,8163826
25/11/2011;-;110,4532893;84,03705203;111,786619;109,8035254;115,2120543;114,0859033;112,289;113,7166133;92,13049839;104,8142089;117,4937796;80,68102849;104,7098336
02/12/2011;111,7099895;110,6853931;88,85291605;112,0466347;110,4817704;115,3875818;114,5217828;112,101;113,9778615;98,93769282;108,5144504;117,8377249;83,73870744;105,9503813
09/12/2011;-;110,912122;89,50942039;112,3028505;110,6109255;115,6504802;115,0989771;114,663;114,1175032;99,80519067;109,8387474;118,1680745;84,50312717;108,598494
16/12/2011;-;111,139076;86,89689285;112,5564335;110,8692358;115,6344548;114,8409661;115,64;114,1452775;96,98005789;110,3061463;118,4226237;83,87769284;107,4742989
23/12/2011;-;111,3672118;89,82867935;112,8196774;110,9565418;115,341334;114,5128148;116,027;114,1632201;100,6114627;113,6168887;118,6453581;82,69631689;112,0723052
30/12/2011;112,8150124;111,5952566;88,61009938;113,0739377;111,2891704;115,6879078;115,1082491;116,509;114,4548664;99,99681944;113,9674379;118,8518537;83,39124392;112,5759416
06/01/2012;-;111,8240093;90,50317011;113,3296227;111,6340652;115,8110731;115,0725567;117,925;114,4546433;101,6037976;114,3958869;119,1096899;83,94718555;112,5008079
13/01/2012;-;112,0521872;91,16417105;113,5868908;112,0446199;116,0866179;115,2189329;118,822;114,7123673;102,5007156;115,2917348;119,3667916;84,22515636;109,8274683
20/01/2012;-;112,2766409;95,05823104;113,8461218;112,4926944;116,7668202;116,3354601;118,493;115,1865204;104,591139;118,4856275;119,7126857;88,95066018;110,9185827
27/01/2012;-;112,4956083;95,4719187;114,0369799;112,8498553;117,5246827;117,0733346;119,766;115,7540857;104,6658821;118,8751266;120,1010994;89,64558721;109,5279271
