Petrobras PN;;;;;;;;;;Economatica
;;;;;;;;;;
;;;;;;;;;;
Data;"Fechamento
ajust p/ prov
USD>C100
AGG";"Fechamento
ajust p/ prov
CZRE>C100
IPCA+7%";"Fechamento
ajust p/ prov
CZRE>C100
CDI Acumulado";"Fechamento
ajust p/ prov
CZRE>C100
IBXX";"Fechamento
ajust p/ prov
CZRE>C100
IDA DI";"Fechamento
ajust p/ prov
CZRE>C100
IMA-B 5";"Fechamento
ajust p/ prov
CZRE>C100
IMA-B";"Fechamento
ajust p/ prov
CZRE>C100
IFIX";"Fechamento
ajust p/ prov
CZRE>C100
IRF-M";"Fechamento
ajust p/ prov
USD>C100
S&P 500"
Nov-2004;100;100;100;100;-;100;100;-;100;100
Dez-2004;100,7973132;101,4302767;101,4798753;107,679558;-;101,4639727;101,5070886;-;101,4851548;103,2458128
Jan-2005;101,2894875;102,5678581;102,8831263;103,4254144;-;102,7650528;102,7334247;-;102,5547586;100,6346799
Fev-2005;100,9133211;103,6728253;104,1340991;118,8674033;-;102,1376652;103,2958078;-;103,9476948;102,536164
Mar-2005;99,93015802;104,9231531;105,7189945;112,1132597;-;103,1832799;104,3080498;-;105,2773199;100,5758975
Abr-2005;101,6518414;106,4058239;107,2075394;103,4944751;-;104,5572839;105,730375;-;106,7757122;98,5534409
Mai-2005;102,493076;107,5317942;108,8161239;105,1381215;-;105,9483918;107,2651946;-;108,5202287;101,5061935
Jun-2005;103,3911731;108,1471987;110,5402636;107,2513812;-;106,246138;107,8183853;-;110,4234536;101,4917108
Jul-2005;102,3206093;109,0305758;112,2091681;112,0718232;-;106,6528222;108,6064172;-;111,8214965;105,1421853
Ago-2005;103,5295445;109,8924439;114,0638218;123,1353591;-;107,8504442;109,7594864;-;113,5167255;103,962277
Set-2005;102,5599965;110,9005897;115,7743961;137,859116;-;108,212693;110,3847119;-;115,4970275;104,6847046
Out-2005;101,5436481;112,333931;117,3990745;132,1270718;-;108,9786166;111,3755186;-;117,0450138;102,8275204
Nov-2005;101,9240071;113,5599199;119,0148795;140,8149171;-;111,4351068;113,5406233;-;119,219842;106,445622
Dez-2005;103,0799993;114,6131315;120,7606251;147,8729282;-;113,6935431;115,6104498;-;121,3161542;106,3442436
Jan-2006;103,018514;115,9412119;122,4822093;174,9861879;-;117,0815951;118,7172273;-;123,4972658;109,0524953
Fev-2006;103,1841105;116,9805457;123,878593;172,9972376;-;120,7410311;125,0092345;-;125,5053782;109,1019066
