Petrobras PN;;;;;;;;;;;Economatica
;;;;;;;;;;;
;;;;;;;;;;;
Data;"Fechamento
ajust p/ prov
moeda orig em 100
IPCA+7%";"Fechamento
ajust p/ prov
moeda orig em 100
RfOffshoreReal";"Fechamento
ajust p/ prov
moeda orig em 100
S&PREAL";"Fechamento
ajust p/ prov
moeda orig em 100
CDI Acumulado";"Fechamento
ajust p/ prov
moeda orig em 100
IDIV";"Fechamento
ajust p/ prov
moeda orig em 100
IDA DI";"Fechamento
ajust p/ prov
moeda orig em 100
IMA-B 5";"Fechamento
ajust p/ prov
moeda orig em 100
IMA-B 5+";"Fechamento
ajust p/ prov
moeda orig em 100
IFIX";"Fechamento
ajust p/ prov
moeda orig em 100
IRF-M";"Fechamento
ajust p/ prov
moeda orig em 100
SMLL"
Nov-2004;100;-;-;100;-;-;100;100;-;100;-
Dez-2004;101,4302767;-;-;101,4798753;-;-;101,4639727;101,5326136;-;101,4851548;-
Jan-2005;102,5678581;-;-;102,8831263;-;-;102,7650528;102,7156195;-;102,5547586;-
Fev-2005;103,6728253;-;-;104,1340991;-;-;102,1376652;103,9395524;-;103,9476948;-
Mar-2005;104,9231531;-;-;105,7189945;-;-;103,1832799;104,933639;-;105,2773199;-
Abr-2005;106,4058239;-;-;107,2075394;-;-;104,5572839;106,381902;-;106,7757122;-
Mai-2005;107,5317942;-;-;108,8161239;-;-;105,9483918;107,9905146;-;108,5202287;-
Jun-2005;108,1471987;-;-;110,5402636;-;-;106,246138;108,6653299;-;110,4234536;-
Jul-2005;109,0305758;-;-;112,2091681;-;-;106,6528222;109,7284626;-;111,8214965;-
Ago-2005;109,8924439;-;-;114,0638218;-;-;107,8504442;110,8248127;-;113,5167255;100
Set-2005;110,9005897;-;-;115,7743961;-;-;108,212693;111,7493749;-;115,4970275;111,2541993
Out-2005;112,333931;-;-;117,3990745;-;-;108,9786166;112,9857077;-;117,0450138;105,191721
Nov-2005;113,5599199;-;-;119,0148795;-;-;111,4351068;114,6353968;-;119,219842;108,8060393
Dez-2005;114,6131315;-;-;120,7606251;100;-;113,6935431;116,1239477;-;121,3161542;114,5036105
Jan-2006;115,9412119;-;-;122,4822093;112,172;-;117,0815951;118,0947299;-;123,4972658;130,8240337
Fev-2006;116,9805457;-;-;123,878593;117,947;-;120,7410311;134,0892115;-;125,5053782;133,5038808
Mar-2006;118,2112908;-;-;125,6356122;121,287;-;121,2118174;131,3313993;-;127,2340066;133,2895702
Abr-2006;119,0334066;-;-;126,9866386;126,9;-;122,0572806;131,1143968;-;128,6141894;134,6372167
Mai-2006;119,8583213;-;-;128,6097866;114,716;-;119,9109641;120,3974426;-;129,0827869;123,9989188
Jun-2006;120,2828926;-;-;130,130171;117,063;-;122,2345951;121,9085269;-;131,4256886;125,362011
Jul-2006;121,1928188;-;-;131,6487457;117,435;-;125,1417722;130,4064448;-;133,4634118;124,9642816
Ago-2006;122,0044953;-;-;133,2960945;115,022;-;127,5173353;134,6400883;-;135,7487928;128,9917751
Set-2006;122,9189783;-;-;134,6999328;115,586;-;128,3838106;135,0540418;-;137,5543288;132,7740665
Out-2006;124,0219077;-;-;136,1683226;122,258;-;131,8396696;139,034773;-;139,6812854;142,3002664
Nov-2006;125,0426229;-;-;137,5535436;128,848;-;134,0458645;143,2986474;-;141,4094904;156,5412982
Dez-2006;126,2854002;-;-;138,9074903;137,259;-;137,3455987;149,0232862;-;143,5138026;168,4905588
Jan-2007;127,5582337;-;-;140,4054679;136,829;-;139,3447106;151,2704553;-;145,0064841;163,9938989
Fev-2007;128,7401598;-;-;141,6266967;140,222;-;140,8390041;154,4628206;-;146,644449;165,0249064
Mar-2007;129,9820012;-;-;143,1117339;150,409;-;142,7989002;160,4565551;-;148,6789614;171,1047612
Abr-2007;131,0085518;-;-;144,4578744;160,617;-;146,1704996;173,9495759;-;151,3307836;183,7722516
Mai-2007;132,1536678;-;-;145,9344113;175,154;-;148,2692345;181,8387577;-;153,519928;201,2974476
Jun-2007;133,2372291;-;-;147,2499731;184,025;-;149,9687797;181,1352089;-;154,3616995;206,8617987
Jul-2007;134,3121487;-;-;148,6755669;185,543;-;150,3091986;176,9525018;-;155,066265;208,097463
Ago-2007;135,7792958;-;-;150,1442121;190,156;-;151,1882289;173,8995985;-;155,1550543;202,0871143
Set-2007;136,7193623;-;-;151,3462131;199,005;-;153,2288899;180,9575519;-;157,3240901;210,4413639
Out-2007;137,9419013;-;-;152,7447688;202,779;-;153,3956321;179,6712902;-;158,2365709;219,6509248
Nov-2007;139,1742345;-;-;154,0275752;199,247;-;154,5113191;175,9594346;-;158,4594394;206,2420358
Dez-2007;140,883337;-;-;155,3205447;195,753;-;155,4395827;177,4872525;-;158,915189;203,5023362
Jan-2008;142,4449829;-;-;156,7525228;194,07;-;157,5604574;179,9731706;-;160,6560245;180,8336873
Fev-2008;143,875037;-;-;157,9987434;209,46;-;159,8547755;185,4309485;-;162,7567657;194,7561494
Mar-2008;145,3440038;-;-;159,3236255;206,51;-;158,6474269;179,0457811;-;162,6893621;174,4236784
